PAR ID,SUB,PRED,OBJ
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-3,gary_chevsky,place of birth,odessa
1053071-5,gary_chevsky,place of birth,odessa
1053071-5,gary_chevsky,place of birth,odessa
1276676-3,william_roscoe,place of birth,dundee
1330513-1,keith_oliver_geddes,place of birth,mathematics
1396931-3,tremere_foster,place of birth,wellington
1438232-5,jon,place of birth,linux
1448006-6,barton,place of birth,new_britain
1573914-1,colin_graham_bell,place of birth,hatfield
1573914-3,colin_graham_bell,place of birth,hatfield
1573914-3,ian_colin_graham_bell,place of birth,hatfield
1573914-5,ian_colin_graham_bell,place of birth,hatfield
1573914-5,ian_colin_graham_bell,place of birth,hatfield
1573914-5,colin_graham_bell,place of birth,hatfield
1573914-5,ian_colin_graham_bell,place of birth,hatfield
1573914-5,ian_colin_graham_bell,place of birth,hatfield
1573914-5,ian_colin_graham_bell,place of birth,hatfield
1573914-7,colin_graham_bell,place of birth,hatfield
1573914-7,ian_colin_graham_bell,place of birth,hatfield
1573914-7,ian_colin_graham_bell,place of birth,hatfield
1573914-7,ian_colin_graham_bell,place of birth,hatfield
1573914-7,ian_colin_graham_bell,place of birth,hatfield
1647644-3,christopher_adams,place of birth,bellville
1689979-3,bruce_gillies,place of birth,toronto
1709011-6,robert,place of birth,netherlands
1775773-3,chuck,place of birth,pasadena
1775773-3,fern_cheek,place of birth,oklahoma
1858859-3,tuong_phong,place of birth,hanoi
1859085-4,leonidas_dertouzos,place of birth,athens
1994118-2,loren_c_carpenter,place of birth,mathematics
1996804-3,ashley_mccall_scott,place of birth,charleston
1996804-3,ashley_mccall_scott,place of birth,miami
1996804-9,ashley_mccall_scott,place of birth,us
2093320-1,nassi,place of birth,brooklyn
2093320-1,nassi,place of birth,brooklyn
2093320-1,nassi,place of birth,brooklyn
2093320-1,nassi,place of birth,brooklyn
2093320-3,nassi,place of birth,brooklyn
2093320-5,nassi,place of birth,brooklyn
2093320-5,nassi,place of birth,brooklyn
2093320-6,nassi,place of birth,brooklyn
2093320-6,nassi,place of birth,brooklyn
2093320-6,nassi,place of birth,brooklyn
2093320-6,nassi,place of birth,brooklyn
2093320-6,nassi,place of birth,brooklyn
2093320-7,nassi,place of birth,brooklyn
2093320-7,nassi,place of birth,brooklyn
2093320-7,nassi,place of birth,brooklyn
2093320-7,nassi,place of birth,brooklyn
2093320-7,nassi,place of birth,brooklyn
2093320-8,nassi,place of birth,brooklyn
2093320-8,nassi,place of birth,brooklyn
2093320-8,nassi,place of birth,brooklyn
2093320-8,nassi,place of birth,brooklyn
2093320-8,nassi,place of birth,brooklyn
2093320-9,nassi,place of birth,brooklyn
2093320-11,nassi,place of birth,brooklyn
2093320-11,nassi,place of birth,brooklyn
2157056-1,neeraj_kayal,place of birth,guwahati
2164471-2,parimarjan_negi,place of birth,tromsø
2164471-5,parimarjan_negi,place of birth,india
2172777-1,david_william_masser,place of birth,diophantine
2172777-3,william_masser,place of birth,london
2174213-3,bonilla,place of birth,east_harlem
2182070-3,jacob,place of birth,bronx
2215839-4,joseph_zbikowski,place of birth,detroit
2232116-7,george_william_furnas,place of birth,moras
2232116-8,george_william_furnas,place of birth,george
2366226-7,james_mclurkin,place of birth,smithsonian
2377369-1,paul_kay,place of birth,new_york
2377369-1,paul_kay,place of birth,new_york
2377369-1,paul_kay,place of birth,new_york
2377369-1,paul_kay,place of birth,new_york
2377369-1,paul_kay,place of birth,new_york
2377369-2,paul_kay,place of birth,new_york
2377369-2,paul_kay,place of birth,new_york
2377369-2,paul_kay,place of birth,new_york
2387489-3,ann_lynch,place of birth,brooklyn
2491724-3,sydney_macdonald_lamb,place of birth,denver
2491724-3,sydney_macdonald_lamb,place of birth,denver
2491724-3,sydney_macdonald_lamb,place of birth,denver
2491724-3,sydney_macdonald_lamb,place of birth,denver
2491724-3,sydney_macdonald_lamb,place of birth,denver
2491724-3,sydney_macdonald_lamb,place of birth,denver
2491724-4,sydney_macdonald_lamb,place of birth,denver
2491724-4,sydney_macdonald_lamb,place of birth,denver
2491724-5,sydney_macdonald_lamb,place of birth,denver
2531756-3,james_shilson,place of birth,mathematics
2561591-1,scott,place of birth,alexandria
2561591-1,scott_j_shenker,place of birth,alexandria
2561591-2,scott_j_shenker,place of birth,alexandria
2561591-2,scott_j_shenker,place of birth,alexandria
2561591-2,scott_j_shenker,place of birth,alexandria
2561591-2,scott_j_shenker,place of birth,alexandria
2561591-3,scott,place of birth,alexandria
2561591-3,google_scholar_scott_j_shenker,place of birth,alexandria
2561591-5,scott,place of birth,alexandria
2561591-5,scott_j_shenker,place of birth,alexandria
2561591-5,scott_j_shenker,place of birth,alexandria
2561591-5,scott_j_shenker,place of birth,alexandria
2561591-6,scott_j_shenker,place of birth,alexandria
2561591-6,scott_j_shenker,place of birth,alexandria
2561591-7,scott_j_shenker,place of birth,alexandria
2561591-8,scott_j_shenker,place of birth,alexandria
2561591-8,scott_j_shenker,place of birth,alexandria
2561591-9,scott_j_shenker,place of birth,alexandria
2561591-10,scott,place of birth,alexandria
2561591-11,scott_j_shenker,place of birth,alexandria
2561591-12,scott,place of birth,alexandria
2561591-13,scott,place of birth,alexandria
2561591-13,scott_j_shenker,place of birth,alexandria
2571377-13,thomson_reuters,place of birth,top100
2574775-7,hermann_oberth,place of birth,sibiu
2574775-7,hermann_oberth,place of birth,sibiu
2578705-2,zhou,place of birth,nanhui
2591534-3,neil,place of birth,cumbernauld
2591534-7,neil_primrose,place of birth,france
2647138-1,frank_garfield_rutherford,place of birth,bahamian
2647138-1,frank_garfield_rutherford,place of birth,united_states
2647138-3,frank_garfield_rutherford,place of birth,havana
2647138-3,frank_garfield_rutherford,place of birth,bahamas
2664225-3,keith_woolner,place of birth,new_hampshire
2664225-4,keith_woolner,place of birth,oracle
2664225-6,keith_woolner,place of birth,usenet
2669026-3,john_caldwell_gordon_frs,place of birth,ripon
2753478-3,michael_berresse,place of birth,walt
2753478-6,michael_berresse,place of birth,spielberg
2753478-7,michael_berresse,place of birth,brooklyn
2804863-4,nathaniel,place of birth,mathematics
2812176-3,shawn_wooden,place of birth,shawn_wooden
2856242-1,ian_watson,place of birth,gijón
2864831-3,john,place of birth,new_york_city
2880488-1,claude_crépeau,place of birth,montreal
2984043-3,sara_maitland,place of birth,london
2984043-3,sara_maitland,place of birth,sara_maitland
2984043-7,sara_maitland,place of birth,sara_maitland
3017449-3,giacomo_marini,place of birth,cugnoli
3017449-3,giacomo_marini,place of birth,cugnoli
3017449-3,giacomo_marini,place of birth,cugnoli
3017449-3,giacomo_marini,place of birth,cugnoli
3017449-4,giacomo_marini,place of birth,cugnoli
3017449-5,giacomo_marini,place of birth,cugnoli
3017449-6,giacomo_marini,place of birth,cugnoli
3017449-10,giacomo_marini,place of birth,cugnoli
3029561-1,frost,place of birth,øyer
3029561-2,frost,place of birth,engineering
3029561-3,frost,place of birth,satyricon
3029561-6,frost,place of birth,us
3041702-5,michael_sacks,place of birth,new_york_city
3041702-5,michael_sacks,place of birth,new_york_city
3041702-5,michael_sacks,place of birth,new_york_city
3041702-6,michael_sacks,place of birth,new_york_city
3041702-6,michael_sacks,place of birth,new_york_city
3041702-6,morgan_stanley_michael_sacks,place of birth,new_york_city
3246639-3,charles_wenger,place of birth,california
3280918-3,james,place of birth,guam
3280918-3,james_h_mcclellan,place of birth,electrical
3292510-8,paulo,place of birth,salvador
3351909-1,victor_oppenheim,place of birth,new_york_city
3351909-1,alan_victor_oppenheim,place of birth,new_york_city
3351909-2,victor_oppenheim,place of birth,new_york_city
3351909-2,alan_victor_oppenheim,place of birth,new_york_city
3351909-4,victor_oppenheim,place of birth,new_york_city
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
